"x"
"Homo sapiens"
"Carex harlandii"
"Carex tenebrosa"
"Carex conspecta"
"Carex declinata"
"Carex spachiana"
"Carex austrina"
"Carex darwinii"
"Carex aztecica"
"Carex clivorum"
"Carex colensoi"
"Carex daltonii"
"Carex geophila"
"Carex wootonii"
"Carex hyalina"
"Carex amicta"
"Carex conica"
"Carex longii"
"Carex davyi"
"Carex fissa"
"Carex munda"
"Carex austrokoreensis"
"Carex dissitispicula"
"Carex laevivaginata"
"Carex brachyanthera"
"Carex incurviformis"
"Carex oklahomensis"
"Carex microrhyncha"
"Carex scabriuscula"
"Carex subbracteata"
"Carex unilateralis"
"Carex glabrescens"
"Carex luzulifolia"
"Carex arctiformis"
"Carex atroviridis"
"Carex biltmoreana"
"Carex egglestonii"
"Carex genkaiensis"
"Carex horsfieldii"
"Carex lambertiana"
"Carex polycephala"
"Carex purpurifera"
"Carex accrescens"
"Carex brainerdii"
"Carex lemanniana"
"Carex andersonii"
"Carex atrosquama"
"Carex autumnalis"
"Carex capillacea"
"Carex hirsutella"
"Carex pityophila"
"Carex aggregata"
"Carex conjuncta"
"Carex gracilior"
"Carex leptopoda"
"Carex mollicula"
"Carex collifera"
"Carex dispalata"
"Carex jamesonii"
"Carex thomsonii"
"Carex triquetra"
"Carex cumulata"
"Carex hilairei"
"Carex normalis"
"Carex papulosa"
"Carex projecta"
"Carex alligata"
"Carex desponsa"
"Carex finitima"
"Carex fragilis"
"Carex gunniana"
"Carex hebetata"
"Carex insignis"
"Carex jackiana"
"Carex maculata"
"Carex nelsonii"
"Carex olivacea"
"Carex arctata"
"Carex barbata"
"Carex acutata"
"Carex banksii"
"Carex decidua"
"Carex echinus"
"Carex globosa"
"Carex integra"
"Carex scitula"
"Carex subdola"
"Carex incisa"
"Carex ligata"
"Carex aperta"
"Carex decora"
"Ulmus americana"
"Carex laeta"
"Carex gotoi"
"Carex manca"
"Canis anthus"
"Carex prescottiana"
"Carex tuckermanii"
"Carex orbicularis"
"Carex saximontana"
"Carex perglobosa"
"Carex townsendii"
"Carex vesiculosa"
"Carex teinogyna"
"Carex radicalis"
"Carex vicinalis"
"Carex wiegandii"
"Carex pruinosa"
"Carex solandri"
"Carex pulchra"
"Carex purdiei"
"Carex raoulii"
"Carex sociata"
"Carex swanii"
"Carex ruthii"
"Carex recta"
"Carex senta"
"Carex teres"
"Carex rara"
"Capra hircus"
"Mimosa pudica"
"Achelousaurus horneri"
"Lynx rufus"
"Alcelaphus buselaphus"
"Caretta caretta"
"Acer saccharum"
"Felis silvestris"
"Bubalus bubalis"
"Sterna hirundo"
"Prionailurus iriomotensis"
"Ficus platypoda"
"Synsepalum dulcificum"
"Lemur catta"
"Ailurus fulgens"
"Neovison vison"
"Dromaius novaehollandiae"
"Apatosaurus ajax"
"Crotalus horridus"
"Coloeus monedula"
"Mandragora officinarum"
"Coffea arabica"
"Pteronura brasiliensis"
"Apatosaurus louisae"
"Liquidambar styraciflua"
"Amphicoelias brontodiplodocus"
"Plateosaurus engelhardti"
"Elaeis guineensis"
"Plateosaurus gracilis"
"Plateosaurus longiceps"
"Plateosaurus ingens"
"Balaenoptera borealis"
"Fratercula arctica"
"Asimina triloba"
"Alligator mississippiensis"
"Dermochelys coriacea"
"Dugong dugon"
"Pinus strobus"
"Phaseolus vulgaris"
"Nigella sativa"
"Accipiter nisus"
"Boselaphus tragocamelus"
"Achillea millefolium"
"Eolambia caroljonesa"
"Anas platyrhynchos"
"Cordyline australis"
"Canis simensis"
"Aquila verreauxii"
"Myotis sodalis"
"Manorina melanocephala"
"Pteranodon longiceps"
"Malus pumila"
"Melissa officinalis"
"Balaenoptera bonaerensis"
"Catha edulis"
"Pan paniscus"
"Uncia uncia"
"Eudocimus albus"
"Lobatus gigas"
"Geronticus eremita"
"Allium sativum"
"Hordeum vulgare"
"Dicerorhinus sumatrensis"
"Ctenium aromaticum"
"Platanus occidentalis"
"Oxyuranus microlepidotus"
"Medicago sativa"
"Robinia pseudoacacia"
"Spinosaurus aegyptiacus"
"Pachyrhizus erosus"
"Acer pseudoplatanus"
"Tachyglossus aculeatus"
"Ornithorhynchus anatinus"
"Cryptoprocta ferox"
"Hyaena hyaena"
"Rattus norvegicus"
"Artemisia absinthium"
"Regulus regulus"
"Odobenus rosmarus"
"Diplodocus carnegii"
"Ipomoea batatas"
"Lamna nasus"
"Lynx lynx"
"Oncorhynchus clarkii"
"Eichhornia crassipes"
"Deinonychus antirrhopus"
"Quercus alba"
"Rhodiola rosea"
"Campephilus principalis"
"Pan troglodytes"
"Panicum virgatum"
"Diplodocus hallorum"
"Punica granatum"
"Lipotes vexillifer"
"Pinguinus impennis"
"Danio rerio"
"Allium cepa"
"Diplodocus longus"
"Pinguinus alfrednewtoni"
"Orcaella brevirostris"
"Arbutus unedo"
"Balaena mysticetus"
"Valeriana officinalis"
"Bacopa monnieri"
"Sorbus aucuparia"
"Acorus calamus"
"Persea americana"
"Massospondylus carinatus"
"Verbascum thapsus"
"Thuja plicata"
"Actinidia arguta"
"Withania somnifera"
"Cervus elaphus"
"Rubus leucodermis"
"Microcebus murinus"
"Rhinella marina"
"Acer palmatum"
"Liriodendron tulipifera"
"Varanus komodoensis"
"Pezophaps solitaria"
"Banksia sessilis"
"Banksia prionotes"
"Cinnamomum cassia"
"Corvus coronoides"
"Centella asiatica"
"Grus antigone"
"Prunus spinosa"
"Ambystoma macrodactylum"
"Martes pennanti"
"Taxodium distichum"
"Nepenthes mirabilis"
"Heterodontosaurus tucki"
"Condylura cristata"
"Philomachus pugnax"
"Eleusine coracana"
"Gavia immer"
"Cyanopsitta spixii"
"Mustela nigripes"
"Jatropha curcas"
"Pezophaps solitarius"
"Heteralocha acutirostris"
"Eucalyptus regnans"
"Hirundo rustica"
"Manihot esculenta"
"Nepenthes lowii"
"Lynx pardinus"
"Perisoreus canadensis"
"Prunus mume"
"Arachis hypogaea"
"Glaucus atlanticus"
"Vitis vinifera"
"Baryonyx walkeri"
"Mustela erminea"
"Salmo salar"
"Galeocerdo cuvier"
"Vitex agnus-castus"
"Rallus aquaticus"
"Theodoxus fluviatilis"
"Myotis alcathoe"
"Hydrobates pelagicus"
"Nycticebus pygmaeus"
"Albertosaurus sarcophagus"
"Phyllanthus emblica"
"Petaurus breviceps"
"Hippophae rhamnoides"
"Passer montanus"
"Lanius excubitor"
"Parasaurolophus cyrtocristatus"
"Parasaurolophus walkeri"
"Banksia marginata"
"Bison bonasus"
"Parasaurolophus tubicen"
"Vaccinium vitis-idaea"
"Physalis peruviana"
"Populus tremuloides"
"Zalophus californianus"
"Brachiosaurus altithorax"
"Melursus ursinus"
"Cuculus canorus"
"Sansevieria trifasciata"
"Jasminum sambac"
"Brassica oleracea"
"Mustela nivalis"
"Ankylosaurus magniventris"
"Crex crex"
"Ficus religiosa"
"Vitis rotundifolia"
"Lynx canadensis"
"Laurus nobilis"
"Atropa bella-donna"
"Cyperus esculentus"
"Scipionyx samniticus"
"Saguinus oedipus"
"Neophron percnopterus"
"Hibiscus rosa-sinensis"
"Gymnorhina tibicen"
"Felis chaus"
"Sassafras albidum"
"Nepenthes bicalcarata"
"Aptenodytes forsteri"
"Aepyceros melampus"
"Gulo gulo"
"Diceros bicornis"
"Sphenodon punctatus"
"Maccullochella peelii"
"Althaea officinalis"
"Herrerasaurus ischigualastensis"
"Quercus robur"
"Pavo cristatus"
"Silybum marianum"
"Inia geoffrensis"
"Castor fiber"
"Aegle marmelos"
"Helianthus annuus"
"Elephas maximus"
"Caranx ignobilis"
"Antidorcas marsupialis"
"Quercus rubra"
"Hydrodamalis gigas"
"Prunus persica"
"Ipomoea aquatica"
"Prunus dulcis"
"Connochaetes taurinus"
"Propithecus candidus"
"Piper nigrum"
"Bothrops insularis"
"Mucuna pruriens"
"Acer negundo"
"Antilope cervicapra"
"Gymnogyps californianus"
"Capsicum annuum"
"Nyctereutes procyonoides"
"Balaenoptera brydei"
"Balaenoptera edeni"
"Martes americana"
"Taraxacum officinale"
"Carcharhinus falciformis"
"Chrysopogon zizanioides"
"Carcharhinus longimanus"
"Haliaeetus leucogaster"
"Litoria aurea"
"Giganotosaurus carolinii"
"Daucus carota"
"Capricornis crispus"
"Pinus ponderosa"
"Sepioteuthis lessoniana"
"Thuja occidentalis"
"Taurotragus derbianus"
"Connochaetes gnou"
"Fagus sylvatica"
"Perovskia atriplicifolia"
"Nepenthes rafflesiana"
"Amia calva"
"Majungasaurus crenatissimus"
"Phocoena sinus"
"Gopherus agassizii"
"Nepenthes fusca"
"Brontosaurus excelsus"
"Illicium verum"
"Brontosaurus yahnahpin"
"Asplenium platyneuron"
"Branta canadensis"
"Neofelis nebulosa"
"Gopherus morafkai"
"Brontosaurus parvus"
"Saiga tatarica"
"Oryza sativa"
"Centrocercus urophasianus"
"Enteroctopus dofleini"
"Quelea quelea"
"Portulaca oleracea"
"Polyodon spathula"
"Chrysomallon squamiferum"
"Velociraptor mongoliensis"
"Hedera helix"
"Opuntia ficus-indica"
"Cyrtodactylus malayanus"
"Macaca mulatta"
"Saiga borealis"
"Tarbosaurus bataar"
"Sylvia atricapilla"
"Eretmochelys imbricata"
"Arundo donax"
"Eudyptula minor"
"Velociraptor osmolskae"
"Glyptemys muhlenbergii"
"Crocodylus acutus"
"Carcharhinus obscurus"
"Monachus monachus"
"Cebus capucinus"
"Monodon monoceros"
"Phoenix dactylifera"
"Juniperus virginiana"
"Ovibos moschatus"
"Pyrrhocorax pyrrhocorax"
"Bothrops asper"
"Confuciusornis sanctus"
"Eurycoma longifolia"
"Crotalus adamanteus"
"Mycteria cinerea"
"Ruta graveolens"
"Bufo bufo"
"Glyphis gangeticus"
"Aesculus glabra"
"Acer platanoides"
"Manilkara zapota"
"Mustela lutreola"
"Eleocharis dulcis"
"Meleagris gallopavo"
"Atropa baetica"
"Phoenicopterus ruber"
"Nepenthes edwardsiana"
"Rafflesia arnoldii"
"Falco sparverius"
"Vultur gryphus"
"Edmontosaurus annectens"
"Kobus ellipsiprymnus"
"Mycteria ibis"
"Confuciusornis feducciai"
"Confuciusornis dui"
"Protoavis texensis"
"Mentha pulegium"
"Canis mesomelas"
"Scelidosaurus harrisonii"
"Leptailurus serval"
"Fragaria ananassa"
"Hyoscyamus niger"
"Agathis australis"
"Camellia japonica"
"Yucca brevifolia"
"Tremarctos ornatus"
"Solanum nigrum"
"Prionailurus bengalensis"
"Axis axis"
"Angraecum sesquipedale"
"Carnotaurus sastrei"
"Avena sativa"
"Transandinomys talamancae"
"Architeuthis dux"
"Banksia spinulosa"
"Octopus vulgaris"
"Microraptor gui"
"Betula pendula"
"Microraptor zhaoianus"
"Caranx melampygus"
"Rubus chamaemorus"
"Balaenoptera omurai"
"Parus major"
"Nepenthes ampullaria"
"Edmontosaurus saskatchewanensis"
"Gavia stellata"
"Ovis canadensis"
"Anatotitan copei"
"Delonix regia"
"Gymnorhinus cyanocephalus"
"Plectranthus amboinicus"
"ERROR"
"Caracal caracal"
"Lactuca sativa"
"Artemisia annua"
"Echinopsis pachanoi"
"Turdus merula"
"Microraptor hanqingi"
"Arnica montana"
"Buteo jamaicensis"
"Tragelaphus eurycerus"
"Negaprion brevirostris"
"Pelecanus occidentalis"
"Mellivora capensis"
"Acacia pycnantha"
"Calyptorhynchus banksii"
"Torosaurus latus"
"Bubalus mindorensis"
"Sula nebouxii"
"Tragelaphus angasii"
"Peromyscus boylii"
"Biomphalaria glabrata"
"Dendroaspis polylepis"
"Cynodon dactylon"
"Larus argentatus"
"Poecilodryas cerviniventris"
"Laevistrombus canarium"
"Daspletosaurus torosus"
"Grus americana"
"Haliaeetus pelagicus"
"Betula papyrifera"
"Malaclemys terrapin"
"Cucurbita pepo"
"Picea abies"
"Glyphis glyphis"
"Ocimum basilicum"
"Adansonia digitata"
"Castanea dentata"
"Nemegtomaia barsboldi"
"Rhinoceros sondaicus"
"Taurotragus oryx"
"Caranx hippos"
"Pipilo erythrophthalmus"
"Gorgosaurus libratus"
"Macaca fascicularis"
"Ciconia maguari"
"Bitis arietans"
"Telopea speciosissima"
"Hexaprotodon liberiensis"
"Acrocanthosaurus atokensis"
"Tetracerus quadricornis"
"Beta vulgaris"
"Cedrus libani"
"Syncerus caffer"
"Ulmus rubra"
"Oryx dammah"
"Banksia ericifolia"
"Simarouba amara"
"Juglans regia"
"Deinocheirus mirificus"
"Magnolia grandiflora"
"Leopardus pardalis"
"Teuthowenia megalops"
"Dilophosaurus wetherilli"
"Ulmus laevis"
"Phasianus colchicus"
"Thescelosaurus neglectus"
"Mimus polyglottos"
"Thescelosaurus assiniboiensis"
"Antilocapra americana"
"Mandragora hybrida"
"Thescelosaurus edmontonensis"
"Lantana camara"
"Thescelosaurus garbanii"
"Poecilia reticulata"
"Harpia harpyja"
"Myocastor coypus"
"Raphus solitarius"
"Isatis tinctoria"
"Threskiornis solitarius"
"Mirounga leonina"
"Elaphurus davidianus"
"Corythosaurus intermedius"
"Corythosaurus casuarius"
"Fiona pinnata"
"Corvus tasmanicus"
"Tragelaphus spekii"
"Istiodactylus latidens"
"Abrus precatorius"
"Istiodactylus sinensis"
"Pyrus pyrifolia"
"Araucaria araucana"
"Ceratotherium simum"
"Nepenthes gracilis"
"Senecio vulgaris"
"Regulus ignicapilla"
"Ardeotis kori"
"Taxidea taxus"
"Calyptorhynchus funereus"
"Salmo trutta"
"Dendrocnide moroides"
"Lepidochelys olivacea"
"Sesamum indicum"
"Okapia johnstoni"
"Cathartes aura"
"Ficus carica"
"Cyclura lewisi"
"Lagenorhynchus obscurus"
"Euoplocephalus tutus"
"Dianthus caryophyllus"
"Haliaeetus albicilla"
"Carassius auratus"
"Epipremnum aureum"
"Cinnamomum camphora"
"Rhinoceros unicornis"
"Pyrus calleryana"
"Vigna mungo"
"Cebus albifrons"
"Vigna unguiculata"
"Carya alba"
"Propithecus tattersalli"
"Myrmecophaga tridactyla"
"Piranga ludoviciana"
"Morinda citrifolia"
"Pyrrhocorax graculus"
"Acca sellowiana"
"Andrias davidianus"
"Brassica juncea"
"Banksia menziesii"
"Morus bassanus"
"Ciconia nigra"
"Linum usitatissimum"
"Proteus anguinus"
"Pica pica"
"Lama glama"
"Cornu aspersum"
"Nerium oleander"
"Hemitragus jemlahicus"
"Macaca fuscata"
"Ananas comosus"
"Gopherus polyphemus"
"Sambucus nigra"
"Aloysia citrodora"
"Tympanuchus phasianellus"
"Prunus serotina"
"Banksia integrifolia"
"Cicer arietinum"
"Larix laricina"
"Gavialis gangeticus"
"Ilex paraguariensis"
"Urocyon littoralis"
"Ulmus procera"
"Carcharhinus brachyurus"
"Melicoccus bijugatus"
"Cyclura nubila"
"Mirounga angustirostris"
"Phaseolus lunatus"
"Ninox boobook"
"Scaphirhynchus albus"
"Daboia russelii"
"Turdus migratorius"
"Fraxinus excelsior"
"Mephitis mephitis"
"Lagenaria siceraria"
"Dionaea muscipula"
"Amazona vittata"
"Alopias vulpinus"
"Cichorium intybus"
"Acer saccharinum"
"Andrographis paniculata"
"Tetrao urogallus"
"Arctictis binturong"
"Redunca redunca"
"Carcharias taurus"
"Nycticebus coucang"
"Artemisia tridentata"
"Capra falconeri"
"Siraitia grosvenorii"
"Pseudoryx nghetinhensis"
"Hevea brasiliensis"
"Macaca sylvanus"
"Felis margarita"
"Tinospora cordifolia"
"Sarcoramphus papa"
"Ulmus parvifolia"
"Asparagus officinalis"
"Agave tequilana"
"Agave americana"
"Pteropus poliocephalus"
"Pithecophaga jefferyi"
"Banksia coccinea"
"Oncorhynchus tshawytscha"
"Catharanthus roseus"
"Prunus avium"
"Passer rutilans"
"Fregilupus varius"
"Lithobates catesbeianus"
"Carcharhinus leucas"
"Pinus longaeva"
"Nepenthes villosa"
"Pinguicula moranensis"
"Dracaena cinnabari"
"Iguana iguana"
"Amblyrhynchus cristatus"
"Leontopithecus rosalia"
"Banksia aemula"
"Crassula ovata"
"Globicephala melas"
"Eschscholzia californica"
"Styracosaurus albertensis"
"Carcharias tricuspidatus"
"Thryothorus ludovicianus"
"Colobus guereza"
"Heterocephalus glaber"
"Buteo regalis"
"Chaetura pelagica"
"Scalopus aquaticus"
"Atractosteus spatula"
"Caprimulgus europaeus"
"Malurus cyaneus"
"Banksia cuneata"
"Vulpes lagopus"
"Lontra longicaudis"
"Odocoileus hemionus"
"Kentrosaurus aethiopicus"
"Tragelaphus buxtoni"
"Monachus schauinslandi"
"Mimosa tenuiflora"
"Senecio radiatus"
"Opisthocoelicaudia skarzynskii"
"Ribes nigrum"
"Sylvia borin"
"Gadus morhua"
"Anthochaera carunculata"
"Cercis canadensis"
"Artocarpus heterophyllus"
"Addax nasomaculatus"
"Dalbergia sissoo"
"Coragyps atratus"
"Calyptorhynchus latirostris"
"Ficus macrophylla"
"Suricata suricatta"
"Neophoca cinerea"
"Lonchura punctulata"
"Falco columbarius"
"Allium tricoccum"
"Hippotragus leucophaeus"
"Bellis perennis"
"Iris aphylla"
"Toxicodendron diversilobum"
"Nepenthes northiana"
"Carcharhinus melanopterus"
"Syzygium cumini"
"Alnus glutinosa"
"Pterodactylus antiquus"
"Catopuma temminckii"
"Cedrus deodara"
"Mirabilis jalapa"
"Alouatta palliata"
"Drosera villosa"
"Otus asio"
"Nerium indicum"
"Armoracia rusticana"
"Nepenthes robcantleyi"
"Phaethon aethereus"
"Pterodactylus longirostris"
"Iris haynei"
"Lycoris radiata"
"Limax maximus"
"Glyphis garricki"
"Vicugna pacos"
"Toxostoma rufum"
"Prionace glauca"
"Megascops asio"
"Picathartes gymnocephalus"
"Dissostichus mawsoni"
"Podiceps grisegena"
"Citrullus colocynthis"
"Pinguicula macrophylla"
"Pinguicula rectifolia"
"Pinguicula caudata"
"Heterodontus portusjacksoni"
"Podiceps nigricollis"
"Rudbeckia hirta"
"Chlorophytum comosum"
"Eragrostis tef"
"Ceiba pentandra"
"Passiflora incarnata"
"Actaea racemosa"
"Ochroma pyramidale"
"Melopsittacus undulatus"
"Acmella oleracea"
"Pandanus amaryllifolius"
"Gavia arctica"
"Mascarinus mascarin"
"Mustela eversmanii"
"Tsuga canadensis"
"Juglans cinerea"
"Ficus benjamina"
"Allium tuberosum"
"Quercus virginiana"
"Pseudechis australis"
"Nyssa sylvatica"
"Pinus palustris"
"Cornus florida"
"Fagus grandifolia"
"Crotalus atrox"
"Annona muricata"
"Aframomum melegueta"
"Centaurea cyanus"
"Ziziphus mauritiana"
"Quercus palustris"
"Crotalus cerastes"
"Anguis fragilis"
"Pinus radiata"
"Saraca asoca"
"Pinus contorta"
"Parthenocissus quinquefolia"
"Melaleuca quinquenervia"
"Hyssopus officinalis"
"Dysphania ambrosioides"
"Laticauda colubrina"
"Sistrurus catenatus"
"Heracleum mantegazzianum"
"Garcinia indica"
"Camelina sativa"
"Python molurus"
"Morus alba"
"Sorghum bicolor"
"Castanea sativa"
"Cupressus sempervirens"
"Eryngium foetidum"
"Melia azedarach"
"Cycas revoluta"
"Fraxinus pennsylvanica"
"Nyctanthes arbor-tristis"
"Hyacinthoides non-scripta"
"Trifolium repens"
"Paulownia tomentosa"
"Eucalyptus camaldulensis"
"Berberis vulgaris"
"Peromyscus maniculatus"
"Cassia fistula"
"Gynostemma pentaphyllum"
"Clitoria ternatea"
"Coccinia grandis"
"Malva sylvestris"
"Diospyros kaki"
"Cyperus rotundus"
"Crotalus scutulatus"
"Terminalia chebula"
"Borassus flabellifer"
"Humulus lupulus"
"Taxus brevifolia"
"Nicotiana tabacum"
"Glechoma hederacea"
"Annona cherimola"
"Echis carinatus"
"Pistacia lentiscus"
"Parthenium argentatum"
"Cucurbita maxima"
"Metasequoia glyptostroboides"
"Calendula officinalis"
"Quercus velutina"
"Osmanthus fragrans"
"Sabal palmetto"
"Jacaranda mimosifolia"
"Cananga odorata"
"Aleurites moluccanus"
"Plantago major"
"Mangifera indica"
"Eucalyptus globulus"
"Albizia julibrissin"
"Butea monosperma"
"Malpighia emarginata"
"Crotalus viridis"
"Annona reticulata"
"Jacobaea vulgaris"
"Musa acuminata"
"Chenopodium album"
"Plestiodon fasciatus"
"Peganum harmala"
"Larrea tridentata"
"Monstera deliciosa"
"Banisteriopsis caapi"
"Abies balsamea"
"Schinus molle"
"Cornus kousa"
"Cestrum nocturnum"
"Cucumis metuliferus"
"Dipteryx odorata"
"Cyperus papyrus"
"Lycium barbarum"
"Pinus taeda"
"Mespilus germanica"
"Angelica archangelica"
"Metopium toxiferum"
"Basella alba"
"Lavandula angustifolia"
"Tilia americana"
"Sternotherus odoratus"
"Leucaena leucocephala"
"Coluber constrictor"
"Syringa vulgaris"
"Nepeta cataria"
"Crataegus monogyna"
"Perilla frutescens"
"Dioscorea alata"
"Toxicodendron vernix"
"Asclepias syriaca"
"Anadenanthera peregrina"
"Diospyros virginiana"
"Neolamarckia cadamba"
"Alliaria petiolata"
"Juniperus communis"
"Eucalyptus deglupta"
"Bixa orellana"
"Rosa canina"
"Backhousia citriodora"
"Morelia spilota"
"Metrosideros excelsa"
"Acacia koa"
"Syzygium samarangense"
"Elysia chlorotica"
"Quercus macrocarpa"
"Pachira aquatica"
"Plectranthus scutellarioides"
"Agalychnis callidryas"
"Pouteria sapota"
"Arbutus menziesii"
"Cirsium arvense"
"Shorea robusta"
"Annona squamosa"
"Gymnema sylvestre"
"Prunus virginiana"
"Festuca arundinacea"
"Tilia cordata"
"Fraxinus americana"
"Madhuca longifolia"
"Psidium guajava"
"Phyllanthus niruri"
"Kalmia latifolia"
"Hydrangea macrophylla"
"Galium aparine"
"Trifolium pratense"
"Stevia rebaudiana"
"Tabernanthe iboga"
"Ilex aquifolium"
"Echinacea purpurea"
"Oenothera biennis"
